text,date
"Introducing the making of DEATH STRANDING. The scene of the giant and void out at the beginning. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/pj47kgKmyP",2019/12/6 18:51
"A new update on the mid-December patch for DEATH STRANDING! Based on user feedback, the following features are now in testing: cargo transparency when Odradek visibility is obstructed and the ability to dispose of vehicles blocking the way (MULE vehicles cannot be disposed). https://t.co/BrpdPfCyTJ",2019/12/6 17:36
"It’s been 4 weeks since the launch. To Sam Porter Bridges in the world, thanks for connecting the world. The ones addicted to DS, the ones finished the story, everyone’s connected. 

TOMORROW IS IN YOUR HANDS.

#デススト
#DeathStranding???????
#TomorrowIsInYourHands https://t.co/3ZFDle9Ilt",2019/12/6 8:26
I didn’t know The Stranglers came to Japan while I was on World Strand Tour. Bought 2019 remastered edition of Aural Sculptures. https://t.co/X5ZBrYagOA,2019/12/5 22:43
Stopped by Tower Record before the event. Bought MIDGE URE SOUNDTRACK1978-2019 and Nick Cave’s GHOSTEEN. https://t.co/QsRDzsohpa,2019/12/5 22:39
"Received this gift, thank you very much. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/SrUwKVRDcn",2019/12/5 22:38
Thank you for coming to the event at KINOKUNIYA today. I hope you guys enjoyed our talk session without a moderator... https://t.co/CnT2s1p1RJ,2019/12/5 22:36
"The novel I got hooked the most this year was by Karin Slaughter. The Will Trent series is the one I like the most, and the new episode The Kept Woman is releasing in Japan on 12/16 that I gave a quote for. it’s a series but you can start from any episode. I guarantee it’s fun. https://t.co/2hBtnPsqgg",2019/12/5 17:38
Received the pamphlet of DAWN OF THE DEAD which is now showing in the theater Japan. I wrote a quote for this movie and you can see it in the pamphlet as well. https://t.co/AYNyLRvrdX,2019/12/5 17:32
"The ending song “DEATH STRANDING” by CHVRCHES. You get more emotional when you hear this tune at the ending. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/F9EzJrhpIF",2019/12/5 13:19
With Makoto Tezuka. It’s been 2 years since the last time we got together. https://t.co/RWYVP4P8Qg,2019/12/4 22:27
"On this Dec 16th, we will be celebrating the 4th anniversary of Kojima Productions. We just visited the first room we rented when we started 4 years ago. This is the origin of Kojima Production and Death Stranding. Everything has started from here. https://t.co/LQGGbxo83s",2019/12/4 17:40
DED STRANDING (DEATH STRANDING ANIMATION) https://t.co/ErQjt0fBdI @YouTubeさんから,2019/12/4 16:56
"Watched French Anime, “J'ai perdu mon corps”. I had this special feeling inside me, it’s ephemeral, painful &amp; beautiful. It’s something only able to express anime. The theme of HAND that connects to DS/MGS. It’s the film of phantom pain but also of the connection. Wanna buy OST. https://t.co/Tayyzco7NW",2019/12/4 8:11
Good morning. https://t.co/mwoWlFNy4Z,2019/12/3 8:51
"Watched The Irishman. Scorsese who taught me what the film is about, how wonderful it is and how to live thru the film in my teen age and De Niro, my hero once again taught us the power of the creation. I was bit worried about their condition due to aging but was needless. https://t.co/b97yM0kT9g",2019/12/3 7:45
I just noticed that I haven’t taken any day off since end of October..,2019/12/2 17:09
"Bought BD-BOX of Kubrick’s earlier masterpiece titles, “Killer’s Kiss”, “The Killing” and “Paths of Glory”. https://t.co/PsuCTVvcuL",2019/12/2 10:14
"Dear Sam “Porter” Bridges, 
#DeathStranding?has been nominated at #TheGameAwards??  
for 9 categories including GAME OF THE YEAR. You can vote once a day at here. 
Google: 
https://t.co/fVxyQNaWvI
The Game Awards:
https://t.co/5XdtxPkqCQ

#デスストでつながれ
#デススト https://t.co/AhwW8tx828",2019/12/2 10:05
"Good morning. It’s raining here. Thanks for delivering packages???????????

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/C6FaIOx4qd",2019/12/2 10:02
4 hours of delay.... https://t.co/pUKj7dmDvn,2019/12/1 17:10
"Good morning ???????????

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/bqeQFDNYDr",2019/12/1 9:22
"The World Strand Tour that started from end October has completed at Seoul, Korea. Paris→London→Berlin→NY→San Francisco→Tokyo→Osaka→Singapore→Taipei→Seoul. I couldn’t tour the other cities but thanks for your support from all over the world. Hoping to get more connected. https://t.co/qTqQwnNjf9",2019/12/1 5:47
"The photo from 15 years ago when I first met director Park Chan-wook, was given from the VFX supervisor Lee Jeon Hyoung. 

VFX????? ?????? 15? ?, ??????? ?? ??? ?? ??? ??? ?? ?????. https://t.co/MussVBRqAq",2019/11/30 22:25
"Reunited with Park Chan-wook since 2 years ago. We are both Virgo born in 1963. He’s my 1 day older brother. 

??????? 2??? ??. 1963?? ?? ????. ??????? 1? ??. https://t.co/SExm5kZF1S",2019/11/30 22:22
"The bike scene at the beginning. The P-capture making of footage. The handle of the bike got broken, Norman helped us fixing, what a guy! Had great atmosphere during the shoot. 

TOMORROW IS IN YOUR HANDS.
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/MT8HRsB9zt",2019/11/30 9:26
The last location of World Strand Tour is Korea. Pls to meet our Kim-kun from Kojima Productions effect team is accompanying with us. As always he films and edits over the iPhone. https://t.co/aUwzNIpTGv,2019/11/29 23:50
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/J1JHOsTPb9",2019/11/29 19:26
"The cap keychain for 1/2 size Sam. I know it’s a sample but I want it so much...had to give back.

Let’s make the boots version for testing.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/tvYq6I2gp8",2019/11/29 13:16
2016.11.28. https://t.co/sN7HJJ0YjJ,2019/11/29 13:03
"Checking the sample made by PRIME1, I like Sam’s cap and keychains, looking good. ???????????

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/myt37UKHpF",2019/11/29 10:18
And watched THE WALKING DEAD Season 10 Episode 8. https://t.co/UAhVqdgTFA,2019/11/29 10:15
